last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	participation	weekly %	midterm	Final	Adjusted Final	Total	Grade
8514	9	8	20	19	17	10	 	 	15	59.39%	37	5	13	36.36	0.0
0157	6	8	 	3	14	 	 	14	9	32.73%	51	24	32	36.09	0.0
0866	5	15	16	9	7	 	 	 	20	43.64%	33	22	30	36.05	0.0
2333	6	11	 	20	12	19	 	8	20	58.18%	47	 	8	35.87	0.0
2053	8	13	17	14	14	 	 	 	18	50.91%	48	 	8	33.16	0.0
0233	8	15	20	 	 	 	 	 	20	38.18%	63	 	8	31.07	0.0
9372	8	 	 	17	 	 	 	 	12	22.42%	32	27	35	29.37	0.0
6624	8	13	11	 	 	 	 	 	18	30.30%	58	 	8	26.92	0.0
4707	 	14	 	 	 	0	 	 	20	20.61%	73	 	8	26.04	0.0
8627	7	 	 	 	 	 	 	 	0	4.24%	57	13	21	21.50	0.0
2502	 	 	 	 	 	 	 	 	18	10.91%	17	15	23	16.96	0.0
0085	7	 	 	19	 	 	 	 	0	15.76%	 	 	8	9.50	0.0
0257	 	 	 	 	 	 	 	 	3	1.82%	 	 	8	3.93	0.0
8991	 	 	 	 	 	 	 	 	3	1.82%	 	 	8	3.93	0.0
8772	 	 	 	 	 	 	 	 	0	0.00%	 	 	8	3.20	0.0
4185	 	 	 	 	 	 	 	 	0	0.00%	 	 	8	3.20	0.0

mean	8.5	14.4	18.9	18.3	17.8	17.1	16.7	17.5	19.1	85.55%	78.5	64.6	70.9	78.1	2.6
median	9	15	20	19	19	19	18	18	20	91.21%	81	67	75	81.69	2.8
